fixture,assumption,stage,step,formula,inputs,value
01_clean_high_equity,aggressive,underwriting,liabilities.confirmed,sum of confirmed bucket,,0.00
01_clean_high_equity,aggressive,underwriting,liabilities.potential,sum of potential bucket,,0.00
01_clean_high_equity,aggressive,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,0.00
01_clean_high_equity,aggressive,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
01_clean_high_equity,aggressive,underwriting,value.v_expected,sum(v*w)/sum(w),,500000.00
01_clean_high_equity,aggressive,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.15
01_clean_high_equity,aggressive,underwriting,value.v_low,V*(1-disp),,425000.00
01_clean_high_equity,aggressive,underwriting,value.v_high,V*(1+disp),,575000.00
01_clean_high_equity,aggressive,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1800 condition=moderate,75600.00
01_clean_high_equity,aggressive,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=moderate,8.0000
01_clean_high_equity,aggressive,underwriting,scenario[conservative].holding,monthly x months,monthly=481.04 months=12.0000,5772.48
01_clean_high_equity,aggressive,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,14225.00
01_clean_high_equity,aggressive,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,30812.50
01_clean_high_equity,aggressive,underwriting,scenario[conservative].equity.gross,V - confirmed,,425000.00
01_clean_high_equity,aggressive,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,425000.00
01_clean_high_equity,aggressive,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=90720.00,515720.00
01_clean_high_equity,aggressive,underwriting,scenario[expected].holding,monthly x months,monthly=534.17 months=8.0000,4273.36
01_clean_high_equity,aggressive,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,16100.00
01_clean_high_equity,aggressive,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,36250.00
01_clean_high_equity,aggressive,underwriting,scenario[expected].equity.gross,V - confirmed,,500000.00
01_clean_high_equity,aggressive,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,500000.00
01_clean_high_equity,aggressive,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=75600.00,575600.00
01_clean_high_equity,aggressive,underwriting,scenario[optimistic].holding,monthly x months,monthly=587.29 months=6.0000,3523.74
01_clean_high_equity,aggressive,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,17975.00
01_clean_high_equity,aggressive,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,41687.50
