fixture,assumption,stage,step,formula,inputs,value
01_clean_high_equity,default,scoring,dcs,100*(.30 coverage + .20 corroboration + .20 recency + .15 (1-conflict) + .10 verification + .05 extraction),coverage=0 corrob=0.000000 recency=0 conflict_penalty=0 verification=0.000000 mean=0,15.0000
01_clean_high_equity,default,scoring,fos,100*(.30 profit + .25 roi + .20 equity + .15 discount + .10 mos),profit=28126.44 roi=0.051375 equity_pct=1.000000 discount=0.408362 mos=0.048865,44.5902
01_clean_high_equity,default,scoring,distress,"sum, capped 100",,0.0000
01_clean_high_equity,default,scoring,dcs,100*(.30 coverage + .20 corroboration + .20 recency + .15 (1-conflict) + .10 verification + .05 extraction),coverage=0 corrob=0.000000 recency=0 conflict_penalty=0 verification=0.000000 mean=0,15.0000
01_clean_high_equity,default,scoring,risk,spec S10 additive penalties,"{""risk_liens"": ""0"", ""risk_bankruptcy"": ""0"", ""risk_foreclosure_stage"": ""0"", ""risk_owner_only_liens_over_10k"": ""0"", ""risk_title_flags"": ""0"", ""risk_owner_occupied"": ""0"", ""risk_hoa_arrears"": ""0"", ""risk_material_conflicts"": ""0"", ""risk_low_dcs"": ""12"", ""risk_federal_tax_lien"": ""0""}",12.0000
01_clean_high_equity,default,scoring,overall,"clamp(.5 FOS + .2 Distress + .2 DCS - .25 Risk, 0, 100) + gates",fos=44.5902 distress=0.0000 dcs=15.0000 risk=12.0000 gates=['dcs_below_40'],22.2951
02_owner_only_federal_lien,default,scoring,dcs,100*(.30 coverage + .20 corroboration + .20 recency + .15 (1-conflict) + .10 verification + .05 extraction),coverage=0.7727 corrob=0.045455 recency=0.9366328582337722567513366919478634027899 conflict_penalty=0 verification=0.227273 mean=0.85,64.3455
02_owner_only_federal_lien,default,scoring,fos,100*(.30 profit + .25 roi + .20 equity + .15 discount + .10 mos),profit=26462.68 roi=0.065942 equity_pct=1.000000 discount=0.383231 mos=0.061863,45.3572
02_owner_only_federal_lien,default,scoring,distress_tax_lien_owner_only,spec S10 point table x recency decay,,3.9149
02_owner_only_federal_lien,default,scoring,distress_absentee,spec S10 point table x recency decay,,5
02_owner_only_federal_lien,default,scoring,distress_owned_over_15yr,spec S10 point table x recency decay,,4
02_owner_only_federal_lien,default,scoring,distress_high_equity_bonus,spec S10 point table x recency decay,,5
02_owner_only_federal_lien,default,scoring,distress,"sum, capped 100",,17.9149
02_owner_only_federal_lien,default,scoring,dcs,100*(.30 coverage + .20 corroboration + .20 recency + .15 (1-conflict) + .10 verification + .05 extraction),coverage=0.7727 corrob=0.045455 recency=0.9366328582337722567513366919478634027899 conflict_penalty=0 verification=0.227273 mean=0.85,64.3455
02_owner_only_federal_lien,default,scoring,risk,spec S10 additive penalties,"{""risk_liens"": ""6"", ""risk_bankruptcy"": ""0"", ""risk_foreclosure_stage"": ""0"", ""risk_owner_only_liens_over_10k"": ""10"", ""risk_title_flags"": ""0"", ""risk_owner_occupied"": ""0"", ""risk_hoa_arrears"": ""0"", ""risk_material_conflicts"": ""0"", ""risk_low_dcs"": ""0"", ""risk_federal_tax_lien"": ""6""}",22.0000
02_owner_only_federal_lien,default,scoring,overall,"clamp(.5 FOS + .2 Distress + .2 DCS - .25 Risk, 0, 100) + gates",fos=45.3572 distress=17.9149 dcs=64.3455 risk=22.0000 gates=[],33.6307
03_conflicting_mortgages,default,scoring,dcs,100*(.30 coverage + .20 corroboration + .20 recency + .15 (1-conflict) + .10 verification + .05 extraction),coverage=0.7273 corrob=0.045455 recency=0.9366328582337722567513366919478634027899 conflict_penalty=0.2 verification=0.181818 mean=0.8,59.2789
03_conflicting_mortgages,default,scoring,fos,100*(.30 profit + .25 roi + .20 equity + .15 discount + .10 mos),profit=17702.03 roi=0.035144 equity_pct=0.411111 discount=0.419562 mos=0.033951,34.9714
03_conflicting_mortgages,default,scoring,distress,"sum, capped 100",,0.0000
03_conflicting_mortgages,default,scoring,dcs,100*(.30 coverage + .20 corroboration + .20 recency + .15 (1-conflict) + .10 verification + .05 extraction),coverage=0.7273 corrob=0.045455 recency=0.9366328582337722567513366919478634027899 conflict_penalty=0.2 verification=0.181818 mean=0.8,59.2789
03_conflicting_mortgages,default,scoring,risk,spec S10 additive penalties,"{""risk_liens"": ""0"", ""risk_bankruptcy"": ""0"", ""risk_foreclosure_stage"": ""0"", ""risk_owner_only_liens_over_10k"": ""0"", ""risk_title_flags"": ""10"", ""risk_owner_occupied"": ""8"", ""risk_hoa_arrears"": ""0"", ""risk_material_conflicts"": ""10"", ""risk_low_dcs"": ""0"", ""risk_federal_tax_lien"": ""0""}",28.0000
03_conflicting_mortgages,default,scoring,overall,"clamp(.5 FOS + .2 Distress + .2 DCS - .25 Risk, 0, 100) + gates",fos=34.9714 distress=0.0000 dcs=59.2789 risk=28.0000 gates=[],22.3415
04_active_nts_postponements,default,scoring,dcs,100*(.30 coverage + .20 corroboration + .20 recency + .15 (1-conflict) + .10 verification + .05 extraction),coverage=0.6818 corrob=0.000000 recency=0.9366328582337722567513366919478634027899 conflict_penalty=0 verification=0.181818 mean=0.8,60.0048
04_active_nts_postponements,default,scoring,fos,100*(.30 profit + .25 roi + .20 equity + .15 discount + .10 mos),profit=None roi=None equity_pct=0.375714 discount=0 mos=None,12.5238
04_active_nts_postponements,default,scoring,distress_nts,spec S10 point table x recency decay,,29.3617
04_active_nts_postponements,default,scoring,distress_nod,spec S10 point table x recency decay,,17.6170
04_active_nts_postponements,default,scoring,distress_taxes_delinquent_2yr,spec S10 point table x recency decay,,10
04_active_nts_postponements,default,scoring,distress,"sum, capped 100",,56.9787
